provider,baseline_date,current_check_date,status,baseline_reference,current_evidence_summary,release_action
Runway,2026-08-29,2026-09-17,verified_no_material_change,"Standard $15/mo; 625 credits/mo; Gen-4.5 12 credits/s","Official current pricing still shows Standard $15 monthly / $12 annualized, 625 credits/mo; Gen-4.5 remains 12 credits/s.","Keep baseline; record current verification date."
Kling AI,2026-08-29,2026-09-17,verified_current_cny_web_pricing,"Standard $6.99 intro; $8.80 renewal; 660 credits/mo","Official public membership page now shows Gold Member in CNY: ¥5.99/7-day new-customer trial, ¥46 first month, ¥58 subsequent monthly renewal, with 660 Inspiration Credits/month. Public page does not expose a global USD price.","Record the exact current CNY web price and allowance; do not silently convert it to USD or treat it as a global normalized monthly benchmark."
HeyGen,2026-08-29,2026-09-17,verified_no_material_change,"Creator $29/mo or $24 annualized; 600 credits/mo","Official current pricing and Help Center show Creator $29/mo and 600 credits/mo.","Keep baseline; record current verification date."
InVideo AI,2026-08-29,2026-09-17,verified_material_change,"Plus $17/mo annual-equivalent; Sep 7 ledger event 750 credits/mo","Official current pricing shows Starter $20/seat/mo billed annually with 400 credits/seat/mo and Plus $50/seat/mo billed annually with 2,000 credits/seat/mo.","Append new dated change event; preserve Aug 29 and Sep 7 history."
Fliki,2026-08-29,2026-09-17,verified_no_material_change,"Standard $28/mo; Premium $88/mo; free entry","Official current pricing/feature pages remain materially consistent and paid production plans include commercial rights.","Keep baseline; refresh checked date where fields match."
Pika,2026-08-29,2026-09-17,verified_material_change,"Standard $10/mo; 700 credits/mo","Official current pricing uses Free / Starter / Creator / Fancy; Starter $10/mo with 900 credits/mo; Creator $35/mo with 3,150 credits/mo; Free has 0 monthly credits and no commercial license.","Append new dated change event; baseline state is historical."
Hailuo AI,2026-08-29,2026-09-17,first_party_pricing_conflict,"Standard $14.99/mo; 1,000 credits/mo; Hailuo 2.3 unit economics","Official Subscription Service Terms list Standard at $14.99/mo with 1,000 credits; separate official Hailuo marketing/blog pages list Standard at $6.99 or $9.99, creating a current first-party pricing conflict.","Do not publish one current normalized Standard price until the conflict is scoped or clarified; retain all dated evidence."
Synthesia,2026-08-29,2026-09-17,verified_no_material_change,"Basic $0; Starter $29/mo; 1,200 credits/mo","Official current pricing shows Basic $0, Starter $29/mo and 1,200 credits/mo; Basic up to 10 video minutes/month.","Keep baseline; record current verification date."
ElevenLabs,2026-08-29,2026-09-17,verified_no_material_change,"Free $0; Starter $6/mo; Free 10,000 credits","Official current pricing shows Free 10k credits/mo and Starter $6/mo with 30k credits/mo; commercial license begins on Starter.","Keep baseline; enrich paid allowance fields if desired."
OpusClip,2026-08-29,2026-09-17,verified_no_material_change,"Free; Starter $15/mo; Free 60 credits/mo","Official current pricing still lists Free $0, Starter $15/mo, Pro $29/mo; Free remains 60 credits/mo.","Keep baseline; record current verification date."
Vizard,2026-08-29,2026-09-17,verified_no_material_change,"Free $0; 60 credits/mo; paid Creator available","Live official pricing UI verifies Creator $29/month with 600 credits/month; yearly starting tier $14.50/month billed $174/year with 7,200 credits/year; Free remains $0 with 60 credits/month.","Normalize current Creator monthly price at $29 and preserve annual billing context."
Submagic,2026-08-29,2026-09-17,verified_no_material_change,"Starter $19/mo; free entry; plan/video limits","Official pricing verifies Starter $19/month with 45 credits and 15 videos. Official free-scheduler page verifies one free video/post with no card and trial watermarking; this is limited free entry, not a recurring paid-plan-equivalent allowance.","Keep $19 paid reference and scope free entry as limited one-post/trial access."
Hypernatural,2026-08-29,2026-09-17,verified_material_change,"Paid plans/credits unstable; baseline carried free-entry/caution context","Official plan-specific support explicitly states Hypernatural is paid-only with no free plan and no free trial. The generic pricing CTA 'Start for free' does not specify a plan entitlement and is treated as onboarding language rather than evidence of a free tier.","Record current no-free-plan/no-trial state; preserve earlier free-entry interpretation as historical/corrected context."
Google Veo,2026-08-29,2026-09-17,evidence_expanded_still_not_monthly_normalized,"Paid monthly reference not normalized; endpoint-dependent access/metering","Current Google Cloud Agent Platform pricing exposes explicit Veo 3.1 / Fast / Lite endpoint prices by output class and resolution.","Add endpoint pricing evidence; keep monthly paid reference not_normalized."
